Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0,Season,Team
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,,
Bernd Leno,de GER,GK,31.0,38.0,1577,1281,292,91,0,2,0,0,0,0,0,0,1250,4,0,Matches,2023-2024,Fulham
Antonee Robinson,us USA,DF,25.0,36.3,2054,1736,314,25,1,11,132,289,0,0,0,0,1514,4,68,Matches,2023-2024,Fulham
Andreas Pereira,br BRA,MF,27.0,29.0,1295,1035,255,67,14,11,220,7,148,49,74,1,912,5,44,Matches,2023-2024,Fulham
João Palhinha,pt POR,MF,28.0,30.0,1333,1272,55,52,6,20,5,1,0,0,0,0,1098,6,29,Matches,2023-2024,Fulham
Timothy Castagne,be BEL,DF,27.0,29.3,1662,1373,286,27,2,2,50,259,0,0,0,0,1350,3,55,Matches,2023-2024,Fulham
Calvin Bassey,ng NGA,DF,23.0,25.6,1674,1582,91,34,0,12,3,3,0,0,0,0,1440,1,20,Matches,2023-2024,Fulham
Alex Iwobi,ng NGA,"FW,MF",27.0,24.4,1051,1029,21,1,6,7,60,8,1,0,0,0,821,1,32,Matches,2023-2024,Fulham
Willian,br BRA,FW,34.0,22.8,1145,1081,59,17,8,14,75,6,36,11,14,0,932,5,20,Matches,2023-2024,Fulham
Tosin Adarabioyo,eng ENG,DF,25.0,18.0,1216,1181,33,28,1,9,1,2,0,0,0,0,1028,2,8,Matches,2023-2024,Fulham
Rodrigo Muniz,br BRA,FW,22.0,17.7,222,207,14,0,1,1,2,0,0,0,0,0,136,1,4,Matches,2023-2024,Fulham
Raúl Jiménez,mx MEX,FW,32.0,15.5,382,370,11,4,4,3,7,1,0,0,0,0,262,1,13,Matches,2023-2024,Fulham
Tim Ream,us USA,DF,35.0,16.7,1060,1010,49,19,0,8,1,0,0,0,0,0,944,1,9,Matches,2023-2024,Fulham
Bobby Reid,jm JAM,FW,30.0,15.8,487,474,12,2,2,1,35,9,1,0,0,0,364,1,16,Matches,2023-2024,Fulham
Harry Wilson,wls WAL,FW,26.0,18.0,632,591,38,13,3,9,42,5,19,7,6,0,478,3,21,Matches,2023-2024,Fulham
Issa Diop,fr FRA,DF,26.0,15.8,1080,1041,37,22,1,5,0,2,0,0,0,0,950,2,13,Matches,2023-2024,Fulham
Harrison Reed,eng ENG,MF,28.0,14.7,748,702,46,23,2,0,19,7,5,2,3,0,627,0,24,Matches,2023-2024,Fulham
Tom Cairney,sct SCO,MF,32.0,16.5,1272,1239,27,15,2,1,25,0,2,1,1,0,1126,6,13,Matches,2023-2024,Fulham
Saša Lukić,rs SRB,MF,26.0,12.5,496,472,21,15,4,1,4,0,0,0,0,0,428,3,7,Matches,2023-2024,Fulham
Kenny Tete,nl NED,DF,27.0,9.6,523,438,84,7,1,0,23,77,0,0,0,0,418,1,13,Matches,2023-2024,Fulham
Carlos Vinícius,br BRA,FW,28.0,3.5,62,61,1,0,0,0,1,0,0,0,0,0,46,0,1,Matches,2023-2024,Fulham
Adama Traoré,es ESP,"FW,MF",27.0,4.2,139,137,2,0,0,1,26,2,0,0,0,0,97,0,7,Matches,2023-2024,Fulham
Armando Broja,al ALB,FW,21.0,1.0,27,26,1,0,0,0,1,0,0,0,0,0,19,0,1,Matches,2023-2024,Fulham
Luke Harris,wls WAL,MF,18.0,0.8,14,11,3,0,0,0,0,0,0,0,0,0,11,0,0,Matches,2023-2024,Fulham
Fodé Ballo-Touré,sn SEN,"DF,MF",26.0,0.8,78,57,20,2,0,0,4,18,0,0,0,0,56,1,3,Matches,2023-2024,Fulham
Aleksandar Mitrović,rs SRB,FW,28.0,0.4,8,8,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches,2023-2024,Fulham
Squad Total,,,28.4,38.0,20237,18414,1772,464,58,118,736,696,212,70,98,1,16311,51,421,,2023-2024,Fulham
Opponent Total,,,26.1,38.0,19973,18262,1612,398,73,109,597,651,188,76,71,4,16233,99,363,,2023-2024,Fulham
