Player,Nation,Pos,Age,90s,Att,Pass Types-Live,Pass Types-Dead,Pass Types-FK,Pass Types-TB,Pass Types-Sw,Pass Types-Crs,Pass Types-TI,Pass Types-CK,Corner Kicks-In,Corner Kicks-Out,Corner Kicks-Str,Outcomes-Cmp,Outcomes-Off,Outcomes-Blocks,Matches,Season-Unnamed: 21_level_1,Team-Unnamed: 22_level_1
Illia Zabarnyi,ua UKR,DF,20.0,37.0,1805,1755,49,42,2,10,1,1,0,0,0,0,1471,1,11,Matches,2023-2024,Bournemouth
Dominic Solanke,eng ENG,FW,25.0,36.9,544,485,58,0,1,1,6,4,0,0,0,0,400,1,30,Matches,2023-2024,Bournemouth
Ryan Christie,sct SCO,MF,28.0,32.3,1300,1217,78,22,17,18,73,2,30,29,0,0,988,5,26,Matches,2023-2024,Bournemouth
Neto,br BRA,GK,34.0,32.0,1060,749,307,84,0,2,0,0,0,0,0,0,692,4,2,Matches,2023-2024,Bournemouth
Lewis Cook,eng ENG,MF,26.0,31.0,1487,1290,195,88,2,3,132,10,93,81,5,1,1135,2,25,Matches,2023-2024,Bournemouth
Marcos Senesi,ar ARG,DF,26.0,24.9,1297,1244,47,40,4,6,25,7,0,0,0,0,1005,6,17,Matches,2023-2024,Bournemouth
Justin Kluivert,nl NED,"MF,FW",24.0,21.3,421,399,18,1,0,3,29,7,2,0,0,1,288,4,19,Matches,2023-2024,Bournemouth
Adam Smith,eng ENG,DF,32.0,23.9,1025,793,229,14,3,1,39,215,0,0,0,0,782,3,26,Matches,2023-2024,Bournemouth
Marcus Tavernier,eng ENG,FW,24.0,23.5,920,790,121,25,3,8,116,35,59,45,2,1,658,9,27,Matches,2023-2024,Bournemouth
Antoine Semenyo,gh GHA,FW,23.0,23.4,647,632,11,0,5,3,45,11,0,0,0,0,452,4,26,Matches,2023-2024,Bournemouth
Milos Kerkez,hu HUN,DF,19.0,21.9,844,677,165,5,1,3,55,160,0,0,0,0,613,2,20,Matches,2023-2024,Bournemouth
Lloyd Kelly,eng ENG,DF,24.0,17.3,906,771,129,22,1,10,21,107,0,0,0,0,673,6,19,Matches,2023-2024,Bournemouth
Philip Billing,dk DEN,MF,27.0,15.5,537,518,17,4,0,6,29,5,6,3,1,0,404,2,17,Matches,2023-2024,Bournemouth
Max Aarons,eng ENG,DF,23.0,13.7,581,453,127,11,2,3,13,116,0,0,0,0,450,1,23,Matches,2023-2024,Bournemouth
Dango Ouattara,bf BFA,"FW,DF",21.0,13.7,558,473,84,8,2,1,36,73,3,0,0,0,371,1,23,Matches,2023-2024,Bournemouth
Alex Scott,eng ENG,MF,19.0,11.3,474,429,43,10,2,4,36,4,26,22,1,0,361,2,10,Matches,2023-2024,Bournemouth
Luis Sinisterra,co COL,"FW,MF",24.0,7.8,292,292,0,0,1,5,11,0,0,0,0,0,226,0,16,Matches,2023-2024,Bournemouth
Chris Mepham,wls WAL,DF,25.0,6.9,359,350,8,5,0,1,1,3,0,0,0,0,296,1,1,Matches,2023-2024,Bournemouth
Mark Travers,ie IRL,GK,24.0,4.0,118,76,42,16,0,0,0,0,0,0,0,0,67,0,0,Matches,2023-2024,Bournemouth
Joe Rothwell,eng ENG,MF,28.0,4.3,216,194,20,11,0,1,12,0,8,6,0,1,179,2,3,Matches,2023-2024,Bournemouth
Enes Ünal,tr TUR,"FW,MF",26.0,3.6,75,68,7,1,0,0,3,0,0,0,0,0,55,0,5,Matches,2023-2024,Bournemouth
David Brooks,wls WAL,"FW,MF",26.0,3.1,132,120,12,1,1,1,15,5,6,5,0,0,95,0,6,Matches,2023-2024,Bournemouth
Ionuț Radu,ro ROU,GK,26.0,2.0,68,54,14,3,0,0,0,0,0,0,0,0,56,0,0,Matches,2023-2024,Bournemouth
Jaidon Anthony,eng ENG,FW,23.0,1.7,45,42,3,2,0,0,2,0,1,0,0,0,30,0,3,Matches,2023-2024,Bournemouth
Tyler Adams,us USA,MF,24.0,1.3,71,67,4,3,0,1,1,1,0,0,0,0,59,0,0,Matches,2023-2024,Bournemouth
James Hill,eng ENG,DF,21.0,0.8,42,34,8,0,0,0,0,8,0,0,0,0,28,0,2,Matches,2023-2024,Bournemouth
Kieffer Moore,wls WAL,"FW,MF",30.0,1.2,42,41,1,0,0,0,2,0,0,0,0,0,28,0,3,Matches,2023-2024,Bournemouth
Hamed Junior Traorè,ci CIV,MF,23.0,0.5,27,26,1,0,1,0,3,0,1,1,0,0,18,0,1,Matches,2023-2024,Bournemouth
Romain Faivre,fr FRA,"MF,FW",25.0,0.5,26,25,1,1,0,0,3,0,0,0,0,0,19,0,0,Matches,2023-2024,Bournemouth
Dominic Sadi,eng ENG,FW,19.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2023-2024,Bournemouth
Squad Total,,,25.7,38.0,15920,14065,1799,419,48,91,709,774,235,192,9,4,11899,56,361,,2023-2024,Bournemouth
Opponent Total,,,26.2,38.0,20032,18073,1909,544,65,71,649,743,214,89,55,5,15916,50,400,,2023-2024,Bournemouth
